SampleID,S.Name,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac+tet,mac+cef,mac+gen,mac+sulfa,mac+amp,mac+strep,mac+azthr,mac+chl,plain_Ent,Ent+tet,Ent+nal,Ent+gen,ENT+tylo,Ent+ery,Ent+linco,Ent+len,Ent+nitrof,Ent+pen,Ent+strep,log10 16s,log10tetAcopies/gram,log10ctxmcopies/gram1+1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,%retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange
VV113.D5,VV113,Breeder_sows,292,292.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.85,5.44,0,4.46,5.58,5.47,5.34,4.84,0,6.43,6.21,4.11,4.11,3.2,3.2,0,0,3.6,4.2,4.46,9.8,5.89,6.03,87530,145914,135664,127669,94.11,125144,110185,81.22,87537,64.52,87530,145914,135589,132639,130493,112082,94330,0.646476692,VV113,1,4
VV114.D6,VV114,Breeder_sows,296,296.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.66,5.72,0,4.71,0,4.55,4.55,2.9,0,6.09,5.63,3.51,4.28,3.68,3.6,0,0,3.75,3.98,3.81,9.89,5.53,5.75,99442,167535,155662,145167,93.26,142053,124523,80,99459,63.89,99442,167535,153977,149912,147414,125305,106546,0.635962635,VV114,1,4
VV115.D7,VV115,Breeder_sows,389,389.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.87,5.53,3.81,4.65,5.42,5.37,5.41,4.88,0,6.87,0,3.6,4.2,4.78,4.83,4.77,0,3.86,0,0,10.05,6.17,5.84,91215,158592,147518,139192,94.36,136431,119749,81.18,91215,61.83,91215,158592,147615,144000,142421,121446,98101,0.618574707,VV115,1,4
VV116.D8,VV116,Breeder_sows,391,391.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.9,5.54,0,4.58,5.2,5.41,4.85,4.3,0,6.26,5.83,4.18,0,3.75,3.75,3.86,0,0,3.81,4.11,10.13,5.54,6.28,91788,150030,140245,131655,93.88,128897,112874,80.48,91798,65.46,91788,150030,139220,135992,133719,114372,98672,0.657681797,VV116,1,4
VV117.D9,VV117,Breeder_sows,363,363.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.81,5.62,5.71,0,4.92,5.28,4.65,0,0,6.85,6.23,4.81,0,5.32,5.19,5.32,0,0,0,3.81,9.74,5.33,5.84,98593,166815,156087,146117,93.61,142910,124122,79.52,98610,63.18,98593,166815,154067,150179,148360,125231,105734,0.633839883,VV117,1,4
VV118.D10,VV118,Breeder_sows,366,366.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.7,5.59,0,4.83,5.42,5.43,5.34,5.16,0,6.83,6.78,4.51,4.11,5.25,5.25,5.25,0,0,0,3.51,9.96,5.38,5.81,85937,141885,132439,124666,94.13,122042,105940,79.99,85939,64.89,85937,141885,131891,128694,126917,107169,92707,0.653395355,VV118,1,4
VV119.D11,VV119,Breeder_sows,369,369.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.74,5.71,3.51,0,0,4.51,0,0,0,6.82,6.36,4.11,3.81,5.39,5.42,5.44,0,4.11,4.28,0,9.31,5.63,6.36,82983,139365,129802,123076,94.82,120774,106636,82.15,82988,63.93,82983,139365,130285,127324,125785,108392,89317,0.640885445,VV119,1,4
VV120.D12,VV120,Breeder_sows,379,379.T6,2,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,,6.83,5.81,4.41,4.55,4.95,5.47,5.25,5.21,3.81,6.7,6.4,4.74,0,5.46,5.41,5.53,0,0,4.11,0,11.1,5.93,6.45,90329,150261,140249,131916,94.06,129246,112465,80.19,90338,64.41,90329,150261,139409,136080,133930,114504,97082,0.646089138,VV120,1,4
VV121.E1,VV121,Breeder_sows,292,292.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.7,5.66,3.98,5.44,5.06,5.44,4.62,0,0,6.59,6.32,4.11,4.58,4.46,4.46,4.35,0,3.38,0,0,9.76,5.6,5.78,95688,168610,158108,147793,93.48,144543,127415,80.59,95697,60.53,95688,168610,155118,151047,149310,125602,101501,0.601986834,VV121,1,4
VV122.E2,VV122,Breeder_sows,296,296.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.84,5.74,4.35,4.58,5.52,5.83,0,4.86,4.23,6.46,5.54,4.18,3.81,3.94,3.94,3.75,0,0,3.81,0,10.4,5.65,5.87,88282,145031,135965,127372,93.68,124992,112847,83,88284,64.93,88282,145031,133603,130489,129551,112353,93903,0.647468472,VV122,3,3
VV123.E3,VV123,Breeder_sows,389,389.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.89,5.88,4.85,0,4.35,5.11,4.83,3.9,0,6.44,5.51,4.43,0,0,3.2,4.23,0,3.2,3.81,0,9.82,5.75,5.79,105001,164945,155100,145945,94.1,143382,126036,81.26,105009,67.7,105001,164945,153662,150329,147595,127199,112124,0.679765983,VV123,1,4
VV124.E4,VV124,Breeder_sows,391,391.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,,6.88,5.8,4.76,4.35,5.42,5.07,5.37,4.66,0,6.46,5.51,0,4.11,0,0,0,0,0,0,0,9.32,6.46,6.02,98125,158383,148658,139750,94.01,136634,120702,81.19,98129,66.01,98125,158383,147100,143602,141671,121721,105325,0.665001926,VV124,1,4
