pigID,pigID_blind,age_days,age_days_edit,age_week,gender_cohort,Study_group,housing,sampling,biome_study,variableid,group,variable,amr_biome,indices,value,animal_prev,amr_prev
368,,343,343,49,2,Breeder_sows,Breeding barn,1 week prior to moving to farrowing house – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.615342203,1,1
292,1,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.756961951,1,1
296,2,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.737656796,1,1
389,7,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.687490187,1,1
391,8,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.889388709,1,1
388,,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.528773024,1,1
394,,350,350,50,1,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.531954682,1,1
363,3,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.866525826,1,1
366,4,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.862101736,1,1
369,5,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.655305503,1,1
379,6,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.673987716,1,1
361,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.793174124,1,1
370,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.840838319,1,1
365,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.683035845,1,1
372,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.610077963,1,1
362,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.729687866,1,1
367,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.599354098,1,1
373,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.729687866,1,1
368,,350,350,50,2,Breeder_sows,Farrowing barn,On the day of parturition – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.764449973,1,1
292,1,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.810207463,1,1
296,2,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.65050662,1,1
389,7,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.625683037,1,1
391,8,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.834566809,1,1
388,,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.709101336,1,1
394,,371,371,53,1,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.805167239,1,1
363,3,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.93930216,1,1
366,4,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.908451715,1,1
369,5,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.889388709,1,1
379,6,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.71745341,1,1
361,,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.71745341,1,1
370,,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.459692105,1,1
365,,371,371,53,2,Breeder_sows,Farrowing barn,On the day finishing weaning/separation from litter  – Parity 1 ,no,plain.mac,MAC,No drug,No drug,plain.mac,6.399555489,1,1
